file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,dataset,-45.822041065784276,-45.873085917537786,3.89793929196005,8.171336574209546
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,dataset,-43.81201388888889,-53.54861684945914,3.8811693907260953,11.443148868500742
F2BJRLP3,0.0,30.7068125,dataset,-45.986756146206446,-46.878608333453975,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,dataset,-45.43971422338569,-45.73743520801651,3.6099060479595213,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,dataset,-43.197156855326874,-52.34253340501051,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,dataset,-44.823584487757735,-50.898400942484535,2.5633459565624697,12.358243745435463
